PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
050169,2020-10-01 00:00:00,2021-09-30 00:00:00,Amended,582046136,2304505377,1911924365
460054,2021-04-01 00:00:00,2022-03-31 00:00:00,Settled,30956643,20319665,117958699
282003,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,63998425,160723528,8565122
320059,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,135103509,181160,2377204
110230,2021-09-01 00:00:00,2022-08-31 00:00:00,Settled,223943726,407415878,402501051
070029,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,131962616,189768468,308247291
030024,2021-07-01 00:00:00,2022-06-30 00:00:00,As Submitted,973040233,3178552279,2033791027
050107,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,550242724,1475400311,1435330291
253027,2021-06-01 00:00:00,2022-05-31 00:00:00,Settled,18257162,37448094,
471305,2020-10-01 00:00:00,2021-09-30 00:00:00,As Submitted,,34998079,87842594
191315,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,39969951,29424950,62989533
331320,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,8528289,69804280
361321,2021-01-01 00:00:00,2021-12-31 00:00:00,Reopened,,3840885,38584498
201309,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,,15178636,72291069
100285,2021-05-01 00:00:00,2022-04-30 00:00:00,Settled,231852530,729796809,697292204
351308,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,7719337,4103056,2083300
520212,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,106287709,25260006,261400760
360011,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,226080020,290383757,515546914
271310,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled,,1824756,825602
514001,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,20998499,37959200,
341317,2021-01-01 00:00:00,2021-12-31 00:00:00,As Submitted,14623853,7108762,25896929
231339,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,30420262,184050570
281355,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,,3944955,30925142
281315,2021-05-01 00:00:00,2022-04-30 00:00:00,Settled,,9534021,35841805
430083,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,31199543,11340,154600
453029,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,22013615,36379478,7423
520210,2020-10-01 00:00:00,2021-09-30 00:00:00,As Submitted,189003423,95642037,301915364
270051,2021-04-01 00:00:00,2022-03-31 00:00:00,As Submitted,452275483,413937708,698544466
191306,2020-11-01 00:00:00,2021-10-31 00:00:00,Settled,,1670478,25160024
140008,2021-07-01 00:00:00,2022-06-30 00:00:00,Settled w/Audit,132745054,339139255,331019234
364047,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,8632935,27885004,
100132,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,140916356,324219360,389883192
300018,2020-10-01 00:00:00,2021-09-30 00:00:00,Settled,387507426,324398653,1201739310
184008,2021-01-01 00:00:00,2021-12-31 00:00:00,Settled,15104919,39896091,6132445
