Provider_Number,STATUS,FYB,FYE,Hospital_Name,Street_Address,City,PO_Box,State,Zip_Code,County,MSA,rpt_rec_num,fy,IME_PART_A,IME_PART_C,IME_Capital_PPS,Total_IME_Payments,DSH_Part_A,DSH_Part_C,Total_DSH_Payments,DGME_Part_A_and_C,DGME_Part_B,Total_DGME_Payments,Hospital_Beds,Labor_Delivery_Beds,Total_Hosp_Beds,Total_Hosp_Medicare_Days,Total_Hosp_Medicaid_Days,Total_Hosp_Days,Total_Hosp_Bed_Days_Available,Interns_and_Residents,Total_Hosp_Employees_on_Payroll,Total_Hosp_Nonpaid_Workers,Total_Hosp_CHIP_Discharges,Total_Hosp_Medicare_Discharges,Total_Hosp_Medicaid_Discharges,Total_Hosp_Discharges,Medicaid_HMO_Discharges,Medicaid_HMO_IPF_Subp_Discharges,Medicaid_HMO_IRF_Subp_Discharges,Medicaid_IPF_Subp_Discharges,Medicaid_IRF_Subp_Discharges,Total_IPF_Subp_Discharges,Total_IRF_Subp_Discharges
440151,SETTLED,05/01/2014,04/30/2015,RIVER PARK HOSPITAL,1559 SPARTA ROAD,MCMINNVILLE,,TN,37110,WARREN,0,625846,2014,0,0,0,0,284034,0,284034,0,0,0,94,0,94,4316,957,9781,34310,0,259.13,0,0,1147,61,2708,548,0,0,0,0,0,217
440152,REOPENED,07/01/2014,06/30/2015,REGIONAL 1 HEALTH,877 JEFFERSON,MEMPHIS,,TN,38103-,SHELBY,4920,762921,2014,4465122,0,224254,4689376,2439724,0,2439724,1606971,461892,2068863,303,15,318,9252,2162,86711,116070,146.57,2425.32,0,0,1162,908,13157,8298,0,0,0,1,0,345
440153,REOPENED,10/01/2013,09/30/2014,NEWPORT MEDICAL CENTER,435 SECOND STREET,NEWPORT,,TN,37821-,COCKE,0,638425,2014,0,0,0,0,91378,0,91378,0,0,0,32,0,32,2045,1256,6695,11680,0,186.34,0,0,657,364,2285,0,0,0,0,0,0,0
440156,REOPENED,04/01/2014,03/31/2015,PARKRIDGE MEDICAL CENTER,2333 MCCALLIE AVENUE,CHATTANOOGA,,TN,37404-,HAMILTON,1560,723258,2014,0,0,0,0,3229510,0,3229510,0,0,0,418,1,419,22752,19141,94355,153324,0,1370.31,0,286,4656,2252,16070,3592,0,0,0,0,1075,218
440159,SETTLED,04/01/2014,03/31/2015,DELTA MEDICAL CENTER MEMPHIS,3000 GETWELL ROAD,MEMPHIS,,TN,38118,SHELBY,4920,616115,2014,0,0,0,0,188317,0,188317,0,0,0,151,0,151,2621,1575,7055,55115,0,322.04,0,0,472,357,1482,0,0,0,902,0,2965,0
440161,REOPENED,01/01/2014,12/31/2014,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,,TN,37203,DAVIDSON,5360,809648,2014,0,0,0,0,3242205,0,3242205,0,0,0,523,0,523,35859,2430,134233,190895,0,2129.54,0,0,7070,38,25522,5907,0,0,0,0,4143,0
440168,SETTLED,01/01/2014,12/31/2014,METHODIST H/C FAYETTE HOSPT.,214 LAKEVIEW DRIVE,SOMERVILLE,,TN,38068,FAYETTE,4920,584705,2014,0,0,0,0,6246,0,6246,0,0,0,10,0,10,223,47,446,3650,0,44,0,0,77,18,149,0,0,0,0,0,0,0
440173,SETTLED,09/01/2014,08/31/2015,PARKWEST MEDICAL CENTER,9352 PARKWEST BLVD,KNOXVILLE,,TN,37923-4325,KNOX,3840,623505,2014,0,0,0,0,930638,0,930638,0,0,0,398,20,418,33993,0,106297,152570,0,1648,0,0,6497,2388,20180,0,0,0,1,0,518,0
440174,SETTLED,10/01/2013,07/31/2014,HAYWOOD PARK COMMUNITY HOSPITAL,2545 NORTH WASHINGTON ST,BROWNSVILLE,,TN,38012,HAYWOOD,0,616116,2014,0,0,0,0,4209,0,4209,0,0,0,36,0,36,172,23,247,10944,0,43.67,0,0,56,8,86,0,0,0,0,0,0,0
440175,REOPENED,12/01/2013,11/30/2014,CROCKETT HOSPITAL,HIGHWAY 43 SOUTH,LAWRENCEBURG,,TN,38464,LAWRENCE,0,640129,2014,0,0,0,0,207331,0,207331,0,0,0,89,0,89,3703,1257,6549,32485,0,254.32,0,0,855,565,1706,0,0,0,0,0,0,63
440176,REOPENED,07/01/2014,06/30/2015,INDIAN PATH MEDICAL CENTER,2000 BROOKSIDE DRIVE,KINGSPORT,,TN,37660-4627,SULLIVAN,3660,696638,2014,147062,0,5776,152838,355928,0,355928,68366,21802,90168,152,0,152,7274,1502,26175,55480,1.62,603.53,0,0,1521,67,5782,1081,0,0,0,0,0,0
440180,SETTLED,07/01/2014,06/30/2015,JELLICO COMMUNITY HOSPITAL,188 HOSPITAL LANE,JELLICO,,TN,37762,CAMPBELL,0,627943,2014,0,0,0,0,85536,0,85536,0,0,0,54,0,54,1561,1446,4673,19710,0,204.36,0,0,538,491,2739,0,0,0,0,0,0,0
440181,SETTLED,07/01/2014,06/30/2015,BOLIVAR GENERAL HOSPITAL,650 NUCKOLLS ROAD,BOLIVAR,,TN,38008-,HARDEMAN,0,626122,2014,0,0,0,0,23981,0,23981,0,0,0,33,0,33,559,63,931,12045,0,55.42,0,0,155,20,263,0,0,0,0,0,0,0
